abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included,value_cost
C2235,,DEFAULT,DE,CHF,6392,7101,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4971
C2235,,DEFAULT,DE,CHF,5046,5606,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3924
C2235,,DEFAULT,DE,CHF,2523,2803,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1962
C2235,,DEFAULT,DE,EUR,5558,6175,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4322
C2235,,DEFAULT,DE,EUR,4388,4875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3412
C2235,,DEFAULT,DE,EUR,2194,2438,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1707
M1000785,,DEFAULT,DE,CHF,6883,7648,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5354
M1000785,,DEFAULT,DE,CHF,5434,6038,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4227
M1000785,,DEFAULT,DE,CHF,2717,3019,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2113
M1000785,,DEFAULT,DE,EUR,5985,6650,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4655
M1000785,,DEFAULT,DE,EUR,4725,5250,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3675
M1000785,,DEFAULT,DE,EUR,2363,2625,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1837
M1000786,,DEFAULT,DE,CHF,6883,7648,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5354
M1000786,,DEFAULT,DE,CHF,5434,6038,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4227
M1000786,,DEFAULT,DE,CHF,2717,3019,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2113
