product_offer_reference,shipment_type_key
plm_offer_01,delivery
plm_offer_02,delivery
plm_offer_03,delivery
plm_offer_04,delivery
plm_offer_05,delivery
plm_offer_06,delivery
plm_offer_07,delivery
plm_offer_08,delivery
plm_offer_09,delivery
plm_offer_10,delivery
plm_offer_11,delivery
plm_offer_12,delivery
plm_offer_13,delivery
plm_offer_14,delivery
plm_offer_15,delivery
plm_offer_16,delivery
plm_offer_17,delivery
plm_offer_18,delivery
plm_offer_19,delivery
plm_offer_20,delivery
plm_offer_21,delivery
plm_offer_22,delivery
plm_offer_23,delivery
plm_offer_24,delivery
plm_offer_25,delivery
plm_offer_26,delivery
plm_offer_27,delivery
plm_offer_28,delivery
plm_offer_29,delivery
plm_offer_30,delivery
plm_offer_31,delivery
plm_offer_32,delivery
plm_offer_33,delivery
