concrete_sku,shipment_type_key
PLM-BRG-6204-01,delivery
PLM-BRG-6308-01,delivery
PLM-BRG-TAP32-01,delivery
PLM-GBX-NMRV63-01,delivery
PLM-FST-HEXM8-030,delivery
PLM-FST-HEXM8-040,delivery
PLM-FST-HEXM8-050,delivery
PLM-FST-HEXM12-040,delivery
PLM-FST-HEXM12-060,delivery
PLM-FST-HEXM12-080,delivery
PLM-FST-NUTM10-01,delivery
PLM-FST-ANCHM10-090,delivery
PLM-FST-ANCHM10-115,delivery
PLM-SEA-ORING-01,delivery
PLM-SEA-SHAFT35-355510,delivery
PLM-SEA-SHAFT35-406010,delivery
PLM-SEA-SHAFT35-456510,delivery
PLM-HYD-CYL63-200,delivery
PLM-HYD-CYL63-300,delivery
PLM-HYD-CYL63-400,delivery
PLM-LUB-EP2-01,delivery
PLM-LUB-HLP46-005,delivery
PLM-LUB-HLP46-020,delivery
PLM-LUB-HLP46-208,delivery
PLM-CHM-BRAKE-01,delivery
PLM-TLS-TORQ-01,delivery
PLM-TLS-SOCK94-01,delivery
PLM-ABR-FLAP125-01,delivery
PLM-TLS-IMPACT-01,delivery
PLM-WSC-WIPE-01,delivery
PLM-WSC-GLOVE-M,delivery
PLM-WSC-GLOVE-L,delivery
PLM-WSC-GLOVE-XL,delivery
