product_offer_reference,stock_name,quantity,is_never_out_of_stock
plm_offer_01,Nordwerk Bearings MERPLM01 Warehouse 1,420,0
plm_offer_02,Nordwerk Bearings MERPLM01 Warehouse 1,180,0
plm_offer_03,Nordwerk Bearings MERPLM01 Warehouse 1,95,0
plm_offer_04,Nordwerk Bearings MERPLM01 Warehouse 1,24,0
plm_offer_05,Vistula Tools MERPLM02 Warehouse 1,650,0
plm_offer_06,Vistula Tools MERPLM02 Warehouse 1,720,0
plm_offer_07,Vistula Tools MERPLM02 Warehouse 1,480,0
plm_offer_08,Vistula Tools MERPLM02 Warehouse 1,310,0
plm_offer_09,Vistula Tools MERPLM02 Warehouse 1,265,0
plm_offer_10,Vistula Tools MERPLM02 Warehouse 1,140,0
plm_offer_11,Vistula Tools MERPLM02 Warehouse 1,880,0
plm_offer_12,Vistula Tools MERPLM02 Warehouse 1,240,0
plm_offer_13,Vistula Tools MERPLM02 Warehouse 1,160,0
plm_offer_14,Karpat Industrial MERPLM03 Warehouse 1,75,0
plm_offer_15,Karpat Industrial MERPLM03 Warehouse 1,340,0
plm_offer_16,Karpat Industrial MERPLM03 Warehouse 1,290,0
plm_offer_17,Karpat Industrial MERPLM03 Warehouse 1,210,0
plm_offer_18,Karpat Industrial MERPLM03 Warehouse 1,18,0
plm_offer_19,Karpat Industrial MERPLM03 Warehouse 1,12,0
plm_offer_20,Karpat Industrial MERPLM03 Warehouse 1,9,0
plm_offer_21,Karpat Industrial MERPLM03 Warehouse 1,540,0
plm_offer_22,Karpat Industrial MERPLM03 Warehouse 1,210,0
plm_offer_23,Karpat Industrial MERPLM03 Warehouse 1,130,0
plm_offer_24,Karpat Industrial MERPLM03 Warehouse 1,16,0
plm_offer_25,Karpat Industrial MERPLM03 Warehouse 1,600,0
plm_offer_26,Vistula Tools MERPLM02 Warehouse 1,45,0
plm_offer_27,Vistula Tools MERPLM02 Warehouse 1,38,0
plm_offer_28,Vistula Tools MERPLM02 Warehouse 1,410,0
plm_offer_29,Vistula Tools MERPLM02 Warehouse 1,22,0
plm_offer_30,Karpat Industrial MERPLM03 Warehouse 1,260,0
plm_offer_31,Karpat Industrial MERPLM03 Warehouse 1,350,0
plm_offer_32,Karpat Industrial MERPLM03 Warehouse 1,480,0
plm_offer_33,Karpat Industrial MERPLM03 Warehouse 1,290,0
