abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices,value_cost
M61240,,DEFAULT,DE,EUR,15493,18437,,12906
M61240,,DEFAULT,DE,CHF,17662,21018,,14713
M61240,,ORIGINAL,DE,EUR,17214,20485,,14339
M61240,,ORIGINAL,DE,CHF,19624,23353,,16347
,100107,DEFAULT,DE,EUR,15493,18437,,12906
,100107,DEFAULT,DE,CHF,17662,21018,,14713
,100107,ORIGINAL,DE,EUR,17214,20485,,14339
,100107,ORIGINAL,DE,CHF,19624,23353,,16347
C2235,,DEFAULT,DE,EUR,7972,9487,,6641
C2235,,DEFAULT,DE,CHF,9088,10815,,7570
C2235,,ORIGINAL,DE,EUR,8857,10541,,7379
C2235,,ORIGINAL,DE,CHF,10097,12016,,8411
,1001454,DEFAULT,DE,EUR,7972,9487,,6641
,1001454,DEFAULT,DE,CHF,9088,10815,,7570
,1001454,ORIGINAL,DE,EUR,8857,10541,,7379
,1001454,ORIGINAL,DE,CHF,10097,12016,,8411
,100223,DEFAULT,DE,EUR,17741,21112,,14778
,100223,DEFAULT,DE,CHF,20224,24067,,16847
,100223,ORIGINAL,DE,EUR,19712,23457,,16420
,100223,ORIGINAL,DE,CHF,22471,26741,,18719
M770,,DEFAULT,DE,EUR,26228,31212,,21848
M770,,DEFAULT,DE,CHF,29899,35581,,24907
M770,,ORIGINAL,DE,EUR,29142,34680,,24276
M770,,ORIGINAL,DE,CHF,33221,39534,,27674
,100266,DEFAULT,DE,EUR,26228,31212,,21848
,100266,DEFAULT,DE,CHF,29899,35581,,24907
,100266,ORIGINAL,DE,EUR,29142,34680,,24276
,100266,ORIGINAL,DE,CHF,33221,39534,,27674
M634,,DEFAULT,DE,EUR,133359,158697,,111088
M634,,DEFAULT,DE,CHF,152029,180914,,126640
M634,,ORIGINAL,DE,EUR,148176,176330,,123431
M634,,ORIGINAL,DE,CHF,168921,201015,,140710
,100288,DEFAULT,DE,EUR,133359,158697,,111088
,100288,DEFAULT,DE,CHF,152029,180914,,126640
,100288,ORIGINAL,DE,EUR,148176,176330,,123431
,100288,ORIGINAL,DE,CHF,168921,201015,,140710
M10569,,DEFAULT,DE,EUR,28162,33513,,23459
M10569,,DEFAULT,DE,CHF,32104,38204,,26743
M10569,,ORIGINAL,DE,EUR,31291,37236,,26065
M10569,,ORIGINAL,DE,CHF,35671,42448,,29714
,100414,DEFAULT,DE,EUR,28162,33513,,23459
,100414,DEFAULT,DE,CHF,32104,38204,,26743
,100414,ORIGINAL,DE,EUR,31291,37236,,26065
,100414,ORIGINAL,DE,CHF,35671,42448,,29714
M39654,,DEFAULT,DE,EUR,7028,8364,,5855
M39654,,DEFAULT,DE,CHF,8011,9534,,6674
M39654,,ORIGINAL,DE,EUR,7808,9293,,6505
M39654,,ORIGINAL,DE,CHF,8901,10593,,7415
,100429,DEFAULT,DE,EUR,7028,8364,,5855
,100429,DEFAULT,DE,CHF,8011,9534,,6674
,100429,ORIGINAL,DE,EUR,7808,9293,,6505
,100429,ORIGINAL,DE,CHF,8901,10593,,7415
M11222,,DEFAULT,DE,EUR,11497,13682,,9577
M11222,,DEFAULT,DE,CHF,13106,15597,,10918
M11222,,ORIGINAL,DE,EUR,12774,15202,,10641
M11222,,ORIGINAL,DE,CHF,14562,17330,,12131
,100430,DEFAULT,DE,EUR,11497,13682,,9577
,100430,DEFAULT,DE,CHF,13106,15597,,10918
,100430,ORIGINAL,DE,EUR,12774,15202,,10641
,100430,ORIGINAL,DE,CHF,14562,17330,,12131
M2393,,DEFAULT,DE,EUR,10312,12272,,8590
M2393,,DEFAULT,DE,CHF,11755,13990,,9793
M2393,,ORIGINAL,DE,EUR,11457,13635,,9544
M2393,,ORIGINAL,DE,CHF,13061,15544,,10881
,100588,DEFAULT,DE,EUR,10312,12272,,8590
,100588,DEFAULT,DE,CHF,11755,13990,,9793
,100588,ORIGINAL,DE,EUR,11457,13635,,9544
,100588,ORIGINAL,DE,CHF,13061,15544,,10881
M45050,,DEFAULT,DE,EUR,24245,28852,,20196
M45050,,DEFAULT,DE,CHF,27639,32891,,23024
M45050,,ORIGINAL,DE,EUR,26938,32057,,22440
M45050,,ORIGINAL,DE,CHF,30710,36545,,25582
,100666,DEFAULT,DE,EUR,24245,28852,,20196
,100666,DEFAULT,DE,CHF,27639,32891,,23024
,100666,ORIGINAL,DE,EUR,26938,32057,,22440
,100666,ORIGINAL,DE,CHF,30710,36545,,25582
M302,,DEFAULT,DE,EUR,10446,12431,,8702
M302,,DEFAULT,DE,CHF,11908,14171,,9920
M302,,ORIGINAL,DE,EUR,11606,13812,,9668
M302,,ORIGINAL,DE,CHF,13231,15745,,11022
,100682,DEFAULT,DE,EUR,10446,12431,,8702
,100682,DEFAULT,DE,CHF,11908,14171,,9920
,100682,ORIGINAL,DE,EUR,11606,13812,,9668
,100682,ORIGINAL,DE,CHF,13231,15745,,11022
M75601,,DEFAULT,DE,EUR,12978,15444,,10811
M75601,,DEFAULT,DE,CHF,14794,17606,,12324
M75601,,ORIGINAL,DE,EUR,14420,17160,,12012
M75601,,ORIGINAL,DE,CHF,16437,19562,,13693
,100683,DEFAULT,DE,EUR,12978,15444,,10811
,100683,DEFAULT,DE,CHF,14794,17606,,12324
,100683,ORIGINAL,DE,EUR,14420,17160,,12012
,100683,ORIGINAL,DE,CHF,16437,19562,,13693
M53238,,DEFAULT,DE,EUR,19117,22750,,15925
M53238,,DEFAULT,DE,CHF,21793,25934,,18154
M53238,,ORIGINAL,DE,EUR,21241,25277,,17694
M53238,,ORIGINAL,DE,CHF,24214,28815,,20170
,100907,DEFAULT,DE,EUR,19117,22750,,15925
,100907,DEFAULT,DE,CHF,21793,25934,,18154
,100907,ORIGINAL,DE,EUR,21241,25277,,17694
,100907,ORIGINAL,DE,CHF,24214,28815,,20170
M53331,,DEFAULT,DE,EUR,15741,18731,,13112
M53331,,DEFAULT,DE,CHF,17944,21353,,14947
M53331,,ORIGINAL,DE,EUR,17490,20812,,14568
M53331,,ORIGINAL,DE,CHF,19937,23725,,16608
,100949,DEFAULT,DE,EUR,15741,18731,,13112
,100949,DEFAULT,DE,CHF,17944,21353,,14947
,100949,ORIGINAL,DE,EUR,17490,20812,,14568
,100949,ORIGINAL,DE,CHF,19937,23725,,16608
M49344,,DEFAULT,DE,EUR,14068,16741,,11719
M49344,,DEFAULT,DE,CHF,16037,19084,,13359
M49344,,ORIGINAL,DE,EUR,15631,18601,,13021
M49344,,ORIGINAL,DE,CHF,17818,21204,,14843
,100999,DEFAULT,DE,EUR,14068,16741,,11719
,100999,DEFAULT,DE,CHF,16037,19084,,13359
,100999,ORIGINAL,DE,EUR,15631,18601,,13021
,100999,ORIGINAL,DE,CHF,17818,21204,,14843
M49207,,DEFAULT,DE,EUR,37836,45024,,31517
M49207,,DEFAULT,DE,CHF,43133,51327,,35929
