product_offer_reference,store_name
offer425,DE
offer426,DE
offer427,DE
offer428,DE
offer429,DE
offer430,DE
offer431,DE
offer432,DE
offer433,DE
offer434,DE
offer435,DE
offer436,DE
offer437,DE
offer438,DE
offer439,DE
offer440,DE
POF00251,DE
POF00254,DE
POF00257,DE
POF00260,DE
POF00263,DE
POF00266,DE
POF00269,DE
POF00272,DE
POF00275,DE
POF00278,DE
POF00279,DE
POF00280,DE
POF00281,DE
POF00282,DE
POF00283,DE
POF00284,DE
POF00285,DE
POF00286,DE
POF00287,DE
POF00288,DE
POF00289,DE
POF00290,DE
POF00291,DE
POF00292,DE
POF00293,DE
