customer_group_name,customer_reference
Gold Tier,DE--21
High Touch Customers,DE--14
High Touch Customers,DE--15
High Touch Customers,DE--16
High Touch Customers,DE--17
High Touch Customers,DE--18
High Touch Customers,DE--19
High Touch Customers,DE--20
High Touch Customers,DE--21
High Touch Customers,DE--31
High Touch Customers,DE--33
High Touch Customers,DE--34
Low Touch Customers,DE--8
Low Touch Customers,DE--9
Low Touch Customers,DE--10
Low Touch Customers,DE--11
Low Touch Customers,DE--12
Low Touch Customers,DE--13
Low Touch Customers,DE--30
Low Touch Customers,DE--32
