product_offer_reference,service_key
offer425,s1
offer426,s2
offer427,s3
offer428,s4
offer429,s1
offer430,s2
offer431,s3
offer432,s4
offer433,s1
offer434,s2
offer435,s3
offer436,s4
offer437,s1
offer438,s2
offer439,s3
offer440,s4
POF00251,s3
POF00254,s4
POF00257,s4
POF00260,s2
POF00263,s3
POF00266,s1
POF00269,s1
POF00272,s4
POF00275,s2
POF00278,s1
POF00280,s5
POF00281,s6
POF00282,s7
POF00283,s5
POF00284,s6
POF00285,s7
POF00286,s5
POF00287,s6
POF00288,s7
POF00290,s1
POF00291,s2
POF00292,s3
POF00293,s4
