business_unit_key,address_key
Ottom_HQ,Address-1
Sales_Department,Address-2
Supplier_Department,Address-3
Ottom_store_Berlin,Address-4
Ottom_store_Oslo,Address-5
Ottom_store_London,Address-6
acme_corporation_HQ,Address-7
acme_corporation_Barcelona,Address-8
acme_corporation_Zurich,Address-9
acme_corporation_Zurich_Sales,Address-10
acme_corporation_Zurich_Support,Address-11
acme_corporation_Berlin,Address-12
acme_corporation_HR,Address-13
acme_corporation_HQ,Address-14
acme_corporation_HQ,Address-15
business-unit-mitte-1,Address-16
business-unit-jim-1,Address-17
