product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices
plm_offer_01,DEFAULT,PL,EUR,840,1033,
plm_offer_02,DEFAULT,PL,EUR,2490,3063,
plm_offer_03,DEFAULT,PL,EUR,4150,5105,
plm_offer_04,DEFAULT,PL,EUR,18600,22878,
plm_offer_05,DEFAULT,PL,EUR,500,615,
plm_offer_06,DEFAULT,PL,EUR,560,689,
plm_offer_07,DEFAULT,PL,EUR,630,775,
plm_offer_08,DEFAULT,PL,EUR,1290,1587,
plm_offer_09,DEFAULT,PL,EUR,1480,1820,
plm_offer_10,DEFAULT,PL,EUR,1740,2140,
plm_offer_11,DEFAULT,PL,EUR,960,1181,
plm_offer_12,DEFAULT,PL,EUR,2240,2755,
plm_offer_13,DEFAULT,PL,EUR,2680,3296,
plm_offer_14,DEFAULT,PL,EUR,3100,3813,
plm_offer_15,DEFAULT,PL,EUR,670,824,
plm_offer_16,DEFAULT,PL,EUR,760,935,
plm_offer_17,DEFAULT,PL,EUR,850,1046,
plm_offer_18,DEFAULT,PL,EUR,41200,50676,
plm_offer_19,DEFAULT,PL,EUR,46800,57564,
plm_offer_20,DEFAULT,PL,EUR,52400,64452,
plm_offer_21,DEFAULT,PL,EUR,590,726,
plm_offer_22,DEFAULT,PL,EUR,2100,2583,
plm_offer_23,DEFAULT,PL,EUR,6850,8426,
plm_offer_24,DEFAULT,PL,EUR,62000,76260,
plm_offer_25,DEFAULT,PL,EUR,510,627,
plm_offer_26,DEFAULT,PL,EUR,12400,15252,
plm_offer_27,DEFAULT,PL,EUR,18900,23247,
plm_offer_28,DEFAULT,PL,EUR,540,664,
plm_offer_29,DEFAULT,PL,EUR,118000,145140,
plm_offer_30,DEFAULT,PL,EUR,1890,2325,
plm_offer_31,DEFAULT,PL,EUR,1240,1525,
plm_offer_32,DEFAULT,PL,EUR,1240,1525,
plm_offer_33,DEFAULT,PL,EUR,1340,1648,
plm_offer_01,DEFAULT,PL,PLN,3612,4442,
plm_offer_02,DEFAULT,PL,PLN,10707,13171,
plm_offer_03,DEFAULT,PL,PLN,17845,21952,
plm_offer_04,DEFAULT,PL,PLN,79980,98375,
plm_offer_05,DEFAULT,PL,PLN,2150,2645,
plm_offer_06,DEFAULT,PL,PLN,2408,2963,
plm_offer_07,DEFAULT,PL,PLN,2709,3333,
plm_offer_08,DEFAULT,PL,PLN,5547,6824,
plm_offer_09,DEFAULT,PL,PLN,6364,7826,
plm_offer_10,DEFAULT,PL,PLN,7482,9202,
plm_offer_11,DEFAULT,PL,PLN,4128,5078,
plm_offer_12,DEFAULT,PL,PLN,9632,11847,
plm_offer_13,DEFAULT,PL,PLN,11524,14173,
plm_offer_14,DEFAULT,PL,PLN,13330,16396,
plm_offer_15,DEFAULT,PL,PLN,2881,3543,
plm_offer_16,DEFAULT,PL,PLN,3268,4021,
plm_offer_17,DEFAULT,PL,PLN,3655,4498,
plm_offer_18,DEFAULT,PL,PLN,177160,217907,
plm_offer_19,DEFAULT,PL,PLN,201240,247525,
plm_offer_20,DEFAULT,PL,PLN,225320,277144,
plm_offer_21,DEFAULT,PL,PLN,2537,3122,
plm_offer_22,DEFAULT,PL,PLN,9030,11107,
plm_offer_23,DEFAULT,PL,PLN,29455,36232,
plm_offer_24,DEFAULT,PL,PLN,266600,327918,
plm_offer_25,DEFAULT,PL,PLN,2193,2696,
plm_offer_26,DEFAULT,PL,PLN,53320,65584,
plm_offer_27,DEFAULT,PL,PLN,81270,99962,
plm_offer_28,DEFAULT,PL,PLN,2322,2855,
plm_offer_29,DEFAULT,PL,PLN,507400,624102,
plm_offer_30,DEFAULT,PL,PLN,8127,9998,
plm_offer_31,DEFAULT,PL,PLN,5332,6558,
plm_offer_32,DEFAULT,PL,PLN,5332,6558,
plm_offer_33,DEFAULT,PL,PLN,5762,7086,
