company_user_key,customer_reference,company_key,is_default
Test--1,DE--1,test-company,true
BoB--1,DE--5,BoB-Regular,
Ottom--1,DE--8,Ottom_ltd,
Ottom--2,DE--9,Ottom_ltd,
Ottom--3,DE--10,Ottom_ltd,
Ottom--4,DE--11,Ottom_ltd,
Ottom--5,DE--12,Ottom_ltd,
Ottom--6,DE--13,Ottom_ltd,
Ottom--7,DE--30,Ottom_ltd,
Ottom--8,DE--32,Ottom_ltd,
Acme--1,DE--14,acme_corporation,
Acme--2,DE--15,acme_corporation,
Acme--3,DE--16,acme_corporation,
Acme--4,DE--17,acme_corporation,
Acme--5,DE--18,acme_corporation,
Acme--6,DE--19,acme_corporation,
Acme--7,DE--20,acme_corporation,
Acme--8,DE--21,acme_corporation,
Acme--9,DE--31,acme_corporation,
Acme--10,DE--33,acme_corporation,
Acme--11,DE--34,acme_corporation,
